Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NTES,NetEase Inc. American Depositary Shares,$101.11,0.49,0.487%,65188116338.00,China,,855507,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$428.905,15.035,3.633%,1059395350000.00,United States,1999,33509174,Technology,Semiconductors
NXPI,NXP Semiconductors N.V. Common Stock,$184.80,-0.96,-0.517%,47641834363.00,Netherlands,2010,890530,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$68.96,-6.61,-8.747%,11313020886.00,United States,2017,7907187,Technology,Computer Software: Prepackaged Software
ON,ON Semiconductor Corporation Common Stock,$84.50,-0.33,-0.389%,36464196613.00,United States,,2319601,Technology,Semiconductors
PANW,Palo Alto Networks Inc. Common Stock,$247.92,4.82,1.983%,76506774224.00,United States,,1439599,Technology,Computer peripheral equipment
PCTY,Paylocity Holding Corporation Common Stock,$190.825,1.555,0.822%,10671152113.00,United States,2014,110035,Technology,Computer Software: Prepackaged Software
PTC,PTC Inc. Common Stock,$136.8373,-0.9127,-0.663%,16260815744.00,United States,,251942,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$110.16,1.53,1.408%,122938560000.00,United States,1991,2926844,Technology,Radio And Television Broadcasting And Communications Equipment
SMCI,Super Micro Computer Inc. Common Stock,$254.51,5.93,2.386%,13465092571.00,United States,2020,2104850,Technology,Computer Manufacturing
SNPS,Synopsys Inc. Common Stock,$471.665,4.025,0.861%,71732613545.00,United States,1992,441812,Technology,EDP Services
SPLK,Splunk Inc. Common Stock,$148.17,0.64,0.434%,24848109000.00,United States,2012,645517,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$50.30,0.22,0.439%,12478845816.00,United States,2010,291660,Technology,EDP Services
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$65.905,-0.785,-1.177%,13668251614.00,Ireland,2002,1071636,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$91.69,-0.50,-0.542%,14614705110.00,United States,,505026,Technology,Semiconductors
TEAM,Atlassian Corporation Class A Common Stock,$188.09,1.02,0.545%,48410729468.00,Australia,2015,594788,Technology,Computer Software: Prepackaged Software
TTD,The Trade Desk Inc. Class A Common Stock,$74.10,0.04,0.054%,36323701811.00,United States,2016,2351883,Technology,Computer Software: Programming Data Processing
TTWO,Take-Two Interactive Software Inc. Common Stock,$141.885,1.305,0.928%,24096438660.00,United States,1997,1632395,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$147.58,-0.23,-0.156%,133997670539.00,United States,,3028558,Technology,Semiconductors
VRSK,Verisk Analytics Inc. Common Stock,$231.015,-3.435,-1.465%,33503430424.00,United States,2009,444642,Technology,EDP Services
VRSN,VeriSign Inc. Common Stock,$207.725,-0.395,-0.19%,21423461335.00,United States,1998,198225,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$366.095,4.235,1.17%,94487221297.00,United States,1991,688710,Technology,EDP Services
WDAY,Workday Inc. Class A Common Stock,$210.74,-0.42,-0.199%,55213880000.00,United States,,556702,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,$42.25,-0.61,-1.423%,13600104352.00,United States,,1871854,Technology,Electronic Components
ZM,Zoom Video Communications Inc. Class A Common Stock,$61.60,-0.11,-0.178%,18538948366.00,United States,2019,1081364,Technology,Computer Software: Programming Data Processing
ZS,Zscaler Inc. Common Stock,$164.59,2.40,1.48%,24222508348.00,United States,2018,788947,Technology,EDP Services
